,listing_id,available,price,adjusted_price,minimum_nights,maximum_nights,listing_url,name,latitude,longitude,property_type,room_type,accomodates,bathrooms_text,bedrooms,beds,amenities,host_id,host_name,host_since,host_location,total_reviews,days_since_review,comment_length
915,35361130.0,0.0,139.0,139.0,1.0,30.0,https://www.airbnb.com/rooms/35361130,"Cosy appartement in de trendy wijk ""Het Eilandje""",51.23193,4.41277,Entire rental unit,Entire home/apt,2.0,1 bath,1.0,1.0,"[""Long term stays allowed"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""TV"", ""Heating"", ""Essentials""]",264997545.0,Joost,2019-05-29,BE,5.0,655.0,218.8
916,36086423.0,0.0,139.0,139.0,2.0,1000.0,https://www.airbnb.com/rooms/36086423,"Cozy apartment in the trendy area ""Het Eilandje""",51.21828,4.40348,Entire rental unit,Entire home/apt,2.0,1 bath,1.0,2.0,"[""Hot water"", ""Long term stays allowed"", ""Dryer"", ""Shampoo"", ""Washer"", ""Hair dryer"", ""Smoke alarm"", ""Hangers"", ""Wifi"", ""TV"", ""Heating"", ""Essentials""]",264997545.0,Joost,2019-05-29,BE,4.0,451.5,78.0
917,35379310.0,1.0,60.0,60.0,1.0,1125.0,https://www.airbnb.com/rooms/35379310,"Paz, conforto e tranquilidade tranquilidade",51.21017,4.45431,Private room in rental unit,Private room,1.0,1 shared bath,1.0,1.0,"[""Hot water"", ""Fire extinguisher"", ""Long term stays allowed"", ""Kitchen"", ""Hangers"", ""Lock on bedroom door"", ""Oven"", ""Wifi"", ""Microwave"", ""Heating"", ""Essentials""]",265837980.0,Leudimar,2019-06-02,BE,1.0,1041.0,116.0
918,35419492.0,1.0,92.66666666666669,92.66666666666669,1.6666666666666667,30.0,https://www.airbnb.com/rooms/35419492,"Hartje Antwerpen, stijlvol en gezellig",51.22113,4.40194,Entire rental unit,Entire home/apt,2.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Smart lock"", ""Luggage dropoff allowed"", ""Bed linens"", ""Body soap"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Bathtub"", ""Portable fans"", ""Extra pillows and blankets"", ""First aid kit"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Fire extinguisher"", ""Dishwasher"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",266567119.0,Ying,2019-06-05,"Antwerp, Flanders, Belgium",149.0,516.0671140939597,226.6510067114094
919,35538073.0,0.0,80.0,80.0,2.0,120.0,https://www.airbnb.com/rooms/35538073,Shared appartement.,51.21856,4.36412,Private room in condominium (condo),Private room,2.0,1 shared bath,1.0,2.0,"[""Refrigerator"", ""Elevator"", ""Kitchen"", ""Smoke alarm"", ""Outdoor furniture"", ""Host greets you"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Washer"", ""Free street parking"", ""Bed linens"", ""Iron"", ""Microwave"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Wine glasses"", ""Free parking on premises"", ""TV"", ""Heating"", ""Cleaning before checkout"", ""Hot water"", ""Fire extinguisher"", ""Dishwasher"", ""Hangers"", ""Lock on bedroom door"", ""Shared patio or balcony""]",151274831.0,Mario,2017-09-19,"Antwerp, Flanders, Belgium",21.0,850.0952380952381,200.33333333333331
920,49719653.0,0.0,60.0,60.0,1.0,120.0,https://www.airbnb.com/rooms/49719653,Private room in a shared family appartement.,51.21937,4.36882,Private room in rental unit,Private room,2.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""Elevator"", ""Kitchen"", ""Whirlpool  oven"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Washer"", ""Free street parking"", ""Luggage dropoff allowed"", ""Microwave"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Dining table"", ""Bathtub"", ""Trash compactor"", ""Wine glasses"", ""Free parking on premises"", ""TV"", ""Heating"", ""Hot water"", ""Fire extinguisher"", ""Dishwasher"", ""Coffee maker"", ""Safe"", ""Hangers"", ""Lock on bedroom door"", ""Shared patio or balcony"", ""Air conditioning"", ""Cleaning products""]",151274831.0,Mario,2017-09-19,"Antwerp, Flanders, Belgium",2.0,260.0,142.5
921,35569947.0,0.0,75.0,75.0,2.0,1125.0,https://www.airbnb.com/rooms/35569947,Cosy and Stylish LOFT near the city center,51.22797,4.41605,Entire loft,Entire home/apt,6.0,2.5 baths,3.0,3.0,"[""Refrigerator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Stove"", ""Carbon monoxide alarm"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Lockbox"", ""Washer"", ""Luggage dropoff allowed"", ""Bed linens"", ""Sound system"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Portable fans"", ""First aid kit"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Heating"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Ethernet connection"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",60026542.0,Julie,2016-02-23,"Antwerp, Flanders, Belgium",112.0,772.4642857142857,185.4017857142857
922,35602722.0,0.0,400.0,600.0,2.0,1125.0,https://www.airbnb.com/rooms/35602722,NEW! Cosy Coffee Lovers apartment in city center.,51.20855,4.39965,Entire rental unit,Entire home/apt,6.0,2.5 baths,3.0,3.0,"[""Refrigerator"", ""Elevator"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Stove"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Lockbox"", ""Washer"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Crib"", ""Free parking on premises"", ""Heating"", ""Hot water"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Ethernet connection"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable""]",267848896.0,Dietrich,2019-06-11,BE,12.0,784.4166666666666,142.16666666666666
923,38271062.0,0.0,266.6666666666667,253.33333333333331,2.0,1125.0,https://www.airbnb.com/rooms/38271062,"Spacious, trendy penthouse w/ city view, on South",51.2066,4.39949,Entire rental unit,Entire home/apt,6.0,2.5 baths,3.0,4.0,"[""Refrigerator"", ""Elevator"", ""Shower gel"", ""Kitchen"", ""Paid street parking off premises"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Sonos sound system"", ""Stove"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Lockbox"", ""Toaster"", ""Washer"", ""Clothing storage"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Bed linens"", ""Freezer"", ""Iron"", ""Dedicated workspace"", ""Microwave"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Dining table"", ""Bathtub"", ""Extra pillows and blankets"", ""Wine glasses"", ""Heating"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable"", ""Cleaning products""]",267848896.0,Dietrich,2019-06-11,BE,13.0,262.9230769230769,189.30769230769232
924,53107460.0,1.0,233.33333333333331,350.0,2.0,365.0,https://www.airbnb.com/rooms/53107460,"Chez François, sunny apartment at the Leien",51.21674,4.41422,Entire rental unit,Entire home/apt,4.0,1.5 baths,2.0,2.0,"[""Refrigerator"", ""Elevator"", ""Shower gel"", ""Kitchen"", ""Smoke alarm"", ""Shampoo"", ""Hair dryer"", ""Stove"", ""Oven"", ""Wifi"", ""Cooking basics"", ""Dishes and silverware"", ""Smart lock"", ""Toaster"", ""Washer"", ""Clothing storage"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Bed linens"", ""Sound system"", ""Freezer"", ""Iron"", ""Microwave"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""Dining table"", ""Bathtub"", ""First aid kit"", ""Extra pillows and blankets"", ""Wine glasses"", ""Heating"", ""Paid parking off premises"", ""Hot water"", ""Private entrance"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Coffee maker"", ""Hangers"", ""Cable TV"", ""TV with standard cable"", ""Cleaning products""]",267848896.0,Dietrich,2019-06-11,BE,0.0,2720.1323529411766,0.0
925,35633180.0,0.0,75.0,75.0,3.0,30.0,https://www.airbnb.com/rooms/35633180,Charming and spacious apartment with sunny terrace,51.21998,4.42847,Entire rental unit,Entire home/apt,2.0,1 bath,1.0,1.0,"[""Hot water"", ""Private entrance"", ""Long term stays allowed"", ""Kitchen"", ""Shampoo"", ""Washer"", ""First aid kit"", ""Bed linens"", ""Hangers"", ""Dedicated workspace"", ""Pocket wifi"", ""Wifi"", ""Heating"", ""Essentials""]",147701563.0,Jozefien,2017-08-25,"Antwerp, Flanders, Belgium",5.0,998.6,198.0
